Age,Sex,Grade,Height,Weight,Bullied_at_School
16 years old,Female,10th grade,1.65,61.69,No
17 years old,Male,12th grade,1.9,77.11,No
18 years old or older,Male,12th grade,1.83,79.38,No
15 years old,Female,10th grade,1.63,83.92,No
15 years old,Female,9th grade,1.6,44.45,No
15 years old,Female,9th grade,1.68,80.29,Yes
16 years old,Female,10th grade,1.6,63.5,No
16 years old,Female,11th grade,1.57,104.33,No
17 years old,Female,10th grade,1.7,74.84,No
14 years old,Female,9th grade,1.6,70.76,No
15 years old,Male,9th grade,1.63,95.26,No
15 years old,Female,10th grade,1.73,45.36,Yes
17 years old,Male,11th grade,1.63,58.97,No
16 years old,Male,11th grade,1.8,74.84,No
16 years old,Male,12th grade,1.85,92.08,Yes
14 years old,Female,9th grade,1.65,63.5,No
15 years old,Female,9th grade,1.5,68.04,Yes
17 years old,Male,11th grade,1.83,78.93,No
15 years old,Male,9th grade,1.68,52.16,No
17 years old,Male,11th grade,1.78,61.24,No
14 years old,Female,9th grade,1.7,63.5,No
14 years old,Female,9th grade,1.7,58.97,No
18 years old or older,Male,12th grade,1.63,56.7,No
17 years old,Female,11th grade,1.6,86.18,No
18 years old or older,Male,12th grade,1.8,63.5,No
17 years old,Female,11th grade,1.8,116.12,No
18 years old or older,Male,12th grade,1.88,70.31,No
18 years old or older,Female,12th grade,1.63,49.9,Yes
17 years old,Female,11th grade,1.6,61.24,No
18 years old or older,Female,12th grade,1.63,63.5,No
18 years old or older,Male,12th grade,1.7,78.02,No
18 years old or older,Male,12th grade,1.83,56.7,No
18 years old or older,Male,12th grade,1.83,76.66,No
17 years old,Female,12th grade,1.78,63.5,No
18 years old or older,Male,12th grade,1.9,124.74,No
18 years old or older,Male,12th grade,1.8,72.58,Yes
18 years old or older,Female,12th grade,1.6,55.79,No
17 years old,Female,11th grade,1.57,54.43,Yes
18 years old or older,Female,12th grade,1.63,122.47,No
18 years old or older,Male,12th grade,1.8,90.72,No
18 years old or older,Female,11th grade,1.6,55.34,Yes
18 years old or older,Female,12th grade,1.6,68.04,Yes
18 years old or older,Male,12th grade,1.78,56.7,No
17 years old,Female,11th grade,1.63,69.85,No
17 years old,Male,12th grade,1.73,63.5,No
17 years old,Male,12th grade,1.68,72.58,No
18 years old or older,Male,12th grade,1.85,63.5,No
16 years old,Male,11th grade,1.73,99.79,No
18 years old or older,Female,12th grade,1.7,68.04,No
18 years old or older,Male,12th grade,1.9,90.72,No
16 years old,Female,11th grade,1.75,63.5,No
15 years old,Male,9th grade,1.8,95.26,No
17 years old,Male,11th grade,1.96,95.26,No
16 years old,Male,9th grade,1.7,58.97,No
15 years old,Female,9th grade,1.57,35.38,Yes
16 years old,Female,10th grade,1.6,50.8,No
15 years old,Male,9th grade,1.85,56.7,Yes
17 years old,Male,12th grade,1.83,120.2,No
16 years old,Male,9th grade,1.65,52.16,No
16 years old,Male,10th grade,1.68,61.24,No
17 years old,Male,10th grade,1.85,79.38,No
15 years old,Male,9th grade,1.57,117.94,Yes
15 years old,Female,9th grade,1.7,70.31,No
17 years old,Male,10th grade,1.8,94.35,No
15 years old,Male,9th grade,1.75,83.92,No
17 years old,Male,11th grade,1.88,68.04,No
15 years old,Male,9th grade,1.65,72.58,No
15 years old,Female,9th grade,1.68,48.54,No
17 years old,Male,11th grade,1.73,65.77,No
14 years old,Male,9th grade,1.78,88.45,No
15 years old,Female,10th grade,1.6,48.54,No
16 years old,Male,11th grade,1.88,63.5,Yes
14 years old,Female,9th grade,1.7,90.72,No
17 years old,Male,11th grade,1.73,74.84,No
15 years old,Male,9th grade,1.8,65.77,No
15 years old,Male,9th grade,1.78,55.79,Yes
15 years old,Male,9th grade,1.73,58.97,No
16 years old,Male,10th grade,1.73,49.9,No
16 years old,Female,10th grade,1.52,50.8,Yes
15 years old,Male,9th grade,1.83,86.64,No
17 years old,Male,10th grade,1.8,61.24,Yes
16 years old,Male,10th grade,1.83,65.77,No
14 years old,Female,9th grade,1.65,52.16,Yes
15 years old,Male,9th grade,1.78,72.58,No
15 years old,Female,9th grade,1.68,76.2,Yes
16 years old,Male,10th grade,1.78,63.5,No
16 years old,Male,10th grade,1.63,57.15,Yes
15 years old,Male,9th grade,1.73,58.97,No
15 years old,Male,9th grade,1.65,46.72,No
17 years old,Female,11th grade,1.63,136.08,No
15 years old,Male,9th grade,1.78,58.97,No
17 years old,Female,11th grade,1.63,52.16,No
17 years old,Male,11th grade,1.73,68.04,No
14 years old,Male,9th grade,1.6,47.63,No
16 years old,Female,9th grade,1.6,50.8,No
17 years old,Male,11th grade,1.8,122.47,No
15 years old,Female,9th grade,1.65,56.7,Yes
16 years old,Male,10th grade,1.7,106.6,No
16 years old,Male,10th grade,1.83,70.31,No
15 years old,Female,9th grade,1.63,54.43,No
15 years old,Female,10th grade,1.57,74.84,Yes
17 years old,Female,11th grade,1.65,66.23,No
17 years old,Female,11th grade,1.65,81.65,No
15 years old,Female,9th grade,1.7,52.16,Yes
16 years old,Male,10th grade,1.73,68.04,No
16 years old,Female,10th grade,1.65,53.52,Yes
16 years old,Female,9th grade,1.65,61.24,No
17 years old,Male,11th grade,1.83,97.52,No
15 years old,Male,9th grade,1.78,90.72,Yes
17 years old,Male,11th grade,1.83,61.24,No
15 years old,Female,9th grade,1.68,61.24,No
17 years old,Female,11th grade,1.52,49.9,No
15 years old,Male,9th grade,1.83,72.58,No
16 years old,Male,10th grade,1.85,81.65,No
15 years old,Female,10th grade,1.75,79.38,Yes
16 years old,Female,10th grade,1.68,60.33,Yes
16 years old,Male,10th grade,1.9,63.5,No
16 years old,Female,10th grade,1.68,52.16,No
16 years old,Female,10th grade,1.6,56.7,Yes
15 years old,Male,9th grade,1.52,43.09,No
17 years old,Male,10th grade,1.83,88,No
16 years old,Female,10th grade,1.68,86.18,No
16 years old,Male,9th grade,1.8,111.59,No
16 years old,Male,10th grade,1.83,65.77,No
16 years old,Female,10th grade,1.6,61.24,No
15 years old,Female,9th grade,1.68,58.97,No
15 years old,Male,9th grade,1.63,45.36,No
16 years old,Male,10th grade,1.7,85.73,Yes
16 years old,Female,10th grade,1.75,56.7,No
15 years old,Male,9th grade,1.83,61.24,Yes
16 years old,Female,10th grade,1.57,61.69,No
16 years old,Female,10th grade,1.57,77.11,Yes
16 years old,Male,10th grade,1.75,58.97,Yes
18 years old or older,Female,12th grade,1.65,58.06,No
18 years old or older,Male,12th grade,1.7,69.4,No
18 years old or older,Male,12th grade,1.73,111.13,No
18 years old or older,Female,12th grade,1.68,65.77,No
18 years old or older,Female,12th grade,1.68,53.98,No
18 years old or older,Female,12th grade,1.6,60.78,No
18 years old or older,Male,12th grade,1.73,81.65,No
17 years old,Male,12th grade,1.78,116.12,No
18 years old or older,Female,12th grade,1.68,49.9,No
18 years old or older,Female,12th grade,1.55,48.99,Yes
18 years old or older,Female,12th grade,1.8,62.6,No
15 years old,Male,9th grade,1.73,84.37,No
15 years old,Male,9th grade,1.73,56.7,No
15 years old,Male,9th grade,1.85,72.58,Yes
16 years old,Female,10th grade,1.55,50.35,No
16 years old,Male,11th grade,1.78,79.38,No
17 years old,Male,12th grade,1.83,79.38,No
16 years old,Male,11th grade,1.83,90.72,No
18 years old or older,Male,12th grade,1.83,88.45,No
16 years old,Female,10th grade,1.65,72.58,No
15 years old,Male,10th grade,1.68,56.7,No
17 years old,Female,11th grade,1.63,88.45,No
18 years old or older,Male,12th grade,1.88,92.99,No
16 years old,Male,10th grade,1.73,113.4,No
15 years old,Female,9th grade,1.78,145.15,Yes
16 years old,Female,10th grade,1.52,58.51,No
17 years old,Male,12th grade,1.73,63.5,No
18 years old or older,Male,11th grade,1.88,77.11,No
17 years old,Female,12th grade,1.65,63.5,Yes
16 years old,Female,11th grade,1.78,65.77,No
15 years old,Male,9th grade,1.78,58.97,No
14 years old,Male,9th grade,1.73,102.06,No
16 years old,Male,10th grade,1.7,65.77,No
16 years old,Female,11th grade,1.68,58.97,No
17 years old,Male,12th grade,1.83,72.58,Yes
14 years old,Female,9th grade,1.52,49.9,No
15 years old,Male,9th grade,1.78,90.72,No
15 years old,Male,10th grade,1.7,54.89,No
17 years old,Female,11th grade,1.52,44.91,No
17 years old,Male,12th grade,1.65,61.24,Yes
16 years old,Male,11th grade,1.83,68.04,No
18 years old or older,Female,12th grade,1.68,58.97,No
16 years old,Male,10th grade,1.65,61.24,No
16 years old,Male,10th grade,1.68,63.5,No
15 years old,Male,9th grade,1.7,49.9,No
16 years old,Male,10th grade,1.7,113.4,No
16 years old,Female,11th grade,1.7,74.84,No
17 years old,Male,12th grade,1.7,104.33,No
16 years old,Female,10th grade,1.73,90.72,No
18 years old or older,Female,12th grade,1.73,74.84,No
15 years old,Female,10th grade,1.57,49.9,No
15 years old,Male,9th grade,1.85,101.15,No
14 years old,Male,9th grade,1.8,95.26,No
16 years old,Male,10th grade,1.75,58.97,No
16 years old,Male,11th grade,1.83,83.92,No
17 years old,Female,11th grade,1.75,61.24,No
17 years old,Female,12th grade,1.65,56.7,No
15 years old,Male,10th grade,1.7,53.07,No
16 years old,Female,9th grade,1.55,96.62,Yes
15 years old,Female,9th grade,1.7,52.16,Yes
18 years old or older,Male,12th grade,1.68,61.24,No
16 years old,Male,11th grade,1.8,72.58,No
17 years old,Female,10th grade,1.73,90.72,No
14 years old,Male,9th grade,1.85,95.26,No
16 years old,Male,10th grade,1.57,47.63,Yes
17 years old,Male,11th grade,1.78,111.13,Yes
17 years old,Female,12th grade,1.55,56.7,Yes
17 years old,Female,11th grade,1.52,44.45,No
18 years old or older,Female,12th grade,1.57,113.4,No
16 years old,Female,10th grade,1.8,70.31,No
15 years old,Male,9th grade,1.9,86.18,Yes
15 years old,Female,9th grade,1.6,58.97,Yes
16 years old,Female,10th grade,1.6,56.7,Yes
18 years old or older,Male,12th grade,1.7,68.95,No
17 years old,Male,12th grade,1.65,92.99,No
16 years old,Female,10th grade,1.63,57.15,No
15 years old,Male,9th grade,1.6,52.16,No
15 years old,Male,9th grade,1.8,63.5,No
16 years old,Male,10th grade,1.85,90.72,No
17 years old,Male,11th grade,1.88,92.99,No
17 years old,Female,12th grade,1.68,56.7,No
16 years old,Male,11th grade,1.73,49.9,No
18 years old or older,Male,12th grade,1.68,129.28,Yes
16 years old,Male,10th grade,1.73,68.04,Yes
14 years old,Female,9th grade,1.63,67.13,No
14 years old,Male,9th grade,1.78,53.52,No
16 years old,Male,10th grade,1.8,86.18,Yes
16 years old,Female,11th grade,1.63,55.34,No
17 years old,Female,12th grade,1.73,77.11,No
17 years old,Female,11th grade,1.65,81.65,Yes
17 years old,Male,12th grade,1.85,110.22,No
16 years old,Male,10th grade,1.85,83.92,No
14 years old,Female,9th grade,1.7,58.97,No
14 years old,Male,9th grade,1.83,61.24,No
18 years old or older,Male,12th grade,1.7,65.77,No
17 years old,Male,12th grade,1.83,83.92,No
17 years old,Female,12th grade,1.6,59.88,Yes
15 years old,Female,10th grade,1.65,58.97,Yes
15 years old,Male,9th grade,1.8,86.18,No
17 years old,Male,12th grade,1.63,63.5,No
17 years old,Female,11th grade,1.68,79.38,No
17 years old,Female,12th grade,1.68,65.77,No
15 years old,Female,10th grade,1.63,54.43,No
15 years old,Female,9th grade,1.5,40.82,No
17 years old,Male,12th grade,1.88,54.43,No
16 years old,Female,11th grade,1.65,49.9,No
18 years old or older,Male,12th grade,1.78,158.76,No
15 years old,Female,10th grade,1.57,49.9,No
16 years old,Female,10th grade,1.57,54.43,No
15 years old,Male,10th grade,1.78,70.31,No
16 years old,Female,11th grade,1.57,48.99,No
16 years old,Female,11th grade,1.6,63.5,No
17 years old,Female,12th grade,1.68,63.5,No
16 years old,Male,10th grade,1.73,67.13,No
14 years old,Male,9th grade,1.78,65.77,No
15 years old,Female,10th grade,1.63,51.71,No
16 years old,Male,11th grade,1.96,72.58,No
18 years old or older,Male,12th grade,1.78,68.04,No
16 years old,Male,11th grade,1.9,124.74,No
18 years old or older,Male,12th grade,1.88,71.67,No
16 years old,Male,10th grade,1.75,63.05,No
15 years old,Male,9th grade,1.6,51.71,No
16 years old,Male,10th grade,1.83,81.65,No
17 years old,Male,11th grade,1.73,61.24,No
18 years old or older,Male,12th grade,1.6,43.09,No
17 years old,Male,11th grade,1.8,68.04,No
18 years old or older,Male,12th grade,1.8,90.72,Yes
16 years old,Male,10th grade,1.8,86.18,No
15 years old,Male,9th grade,1.9,77.11,Yes
15 years old,Male,9th grade,1.68,68.04,No
16 years old,Female,10th grade,1.65,68.04,No
17 years old,Female,11th grade,1.57,60.78,No
17 years old,Female,12th grade,1.55,58.06,Yes
18 years old or older,Male,12th grade,1.83,86.18,No
16 years old,Male,10th grade,1.7,56.7,Yes
14 years old,Male,9th grade,1.73,68.04,Yes
16 years old,Male,10th grade,1.63,45.36,No
17 years old,Female,11th grade,1.63,63.5,No
18 years old or older,Female,12th grade,1.55,47.17,No
17 years old,Male,11th grade,1.65,55.79,No
18 years old or older,Male,12th grade,1.83,99.79,Yes
16 years old,Female,10th grade,1.6,72.58,No
15 years old,Male,9th grade,1.75,113.4,No
15 years old,Female,9th grade,1.45,37.65,No
15 years old,Female,10th grade,1.55,58.97,No
17 years old,Female,11th grade,1.65,61.24,No
17 years old,Male,11th grade,1.85,65.77,No
18 years old or older,Female,12th grade,1.5,44.45,No
14 years old,Female,9th grade,1.68,52.16,No
15 years old,Male,9th grade,1.8,95.26,No
15 years old,Female,10th grade,1.65,68.04,No
16 years old,Male,11th grade,1.8,72.58,No
16 years old,Female,11th grade,1.65,52.16,No
18 years old or older,Male,12th grade,1.85,85.73,No
14 years old,Male,9th grade,1.83,65.77,No
15 years old,Female,9th grade,1.73,45.36,No
15 years old,Female,9th grade,1.63,45.36,Yes
15 years old,Female,10th grade,1.57,50.35,No
17 years old,Male,11th grade,1.73,158.76,No
16 years old,Female,11th grade,1.65,77.11,No
17 years old,Female,12th grade,1.7,58.97,No
16 years old,Female,10th grade,1.68,63.5,No
14 years old,Male,10th grade,1.78,72.58,No
15 years old,Male,9th grade,1.63,58.97,Yes
15 years old,Female,10th grade,1.68,49.9,No
17 years old,Male,12th grade,1.78,53.52,No
17 years old,Female,12th grade,1.73,97.52,No
17 years old,Male,11th grade,1.63,52.16,No
18 years old or older,Female,12th grade,1.68,53.52,No
15 years old,Male,10th grade,1.78,68.95,No
15 years old,Male,9th grade,1.78,60.78,Yes
15 years old,Male,10th grade,1.75,61.24,No
16 years old,Male,11th grade,1.78,70.31,No
17 years old,Male,12th grade,1.83,72.58,No
17 years old,Male,12th grade,1.63,76.2,No
17 years old,Female,10th grade,1.55,52.62,No
14 years old,Male,9th grade,1.65,71.22,No
15 years old,Female,9th grade,1.83,83.01,No
17 years old,Male,11th grade,1.8,83.92,No
17 years old,Male,11th grade,1.75,64.86,No
16 years old,Female,11th grade,1.68,54.43,No
17 years old,Female,11th grade,1.7,58.97,No
17 years old,Female,11th grade,1.55,52.16,Yes
16 years old,Female,11th grade,1.63,52.16,No
17 years old,Female,11th grade,1.63,52.16,No
17 years old,Male,11th grade,1.83,61.69,No
17 years old,Female,11th grade,1.68,58.97,No
17 years old,Female,11th grade,1.6,56.7,Yes
17 years old,Female,11th grade,1.63,61.24,No
16 years old,Female,11th grade,1.63,68.04,Yes
18 years old or older,Male,12th grade,1.73,81.65,No
18 years old or older,Female,12th grade,1.47,46.72,No
17 years old,Female,12th grade,1.65,99.79,No
18 years old or older,Male,12th grade,1.73,88.45,No
17 years old,Male,12th grade,1.73,62.6,Yes
16 years old,Female,10th grade,1.57,52.62,No
15 years old,Male,9th grade,1.68,72.58,No
15 years old,Male,9th grade,1.85,63.5,Yes
14 years old,Female,9th grade,1.7,81.65,No
14 years old,Male,9th grade,1.68,56.7,Yes
15 years old,Female,9th grade,1.65,58.06,No
16 years old,Male,10th grade,1.9,90.72,No
16 years old,Male,11th grade,1.73,68.04,No
18 years old or older,Male,12th grade,1.75,61.24,No
17 years old,Male,12th grade,1.83,95.26,No
15 years old,Male,9th grade,1.65,53.52,Yes
14 years old,Male,9th grade,1.65,81.65,No
16 years old,Male,10th grade,1.73,56.7,No
16 years old,Male,11th grade,1.78,90.72,No
17 years old,Male,12th grade,1.83,72.58,Yes
18 years old or older,Female,12th grade,1.65,61.24,Yes
16 years old,Male,10th grade,1.8,68.04,No
14 years old,Female,9th grade,1.5,44,Yes
17 years old,Female,11th grade,1.55,48.99,No
17 years old,Female,12th grade,1.63,104.33,No
17 years old,Female,12th grade,1.65,67.13,No
16 years old,Female,10th grade,1.52,63.5,No
15 years old,Female,9th grade,1.57,53.52,No
14 years old,Female,9th grade,1.57,63.5,No
16 years old,Male,10th grade,1.83,52.62,Yes
17 years old,Female,11th grade,1.7,81.65,Yes
16 years old,Male,11th grade,1.75,70.31,No
18 years old or older,Female,12th grade,1.63,47.63,Yes
17 years old,Female,12th grade,1.57,68.04,No
16 years old,Male,10th grade,1.8,68.04,No
15 years old,Female,9th grade,1.6,52.62,Yes
15 years old,Female,9th grade,1.6,58.97,No
16 years old,Male,10th grade,1.8,88.45,Yes
16 years old,Male,11th grade,1.88,86.18,No
16 years old,Female,11th grade,1.57,81.65,No
17 years old,Female,12th grade,1.6,72.58,No
17 years old,Male,12th grade,1.88,97.52,No
15 years old,Male,10th grade,1.83,101.15,No
14 years old,Female,9th grade,1.65,79.38,No
16 years old,Male,10th grade,1.65,66.68,No
16 years old,Female,11th grade,1.7,68.04,No
16 years old,Male,11th grade,1.88,104.33,No
18 years old or older,Male,12th grade,1.8,68.04,No
18 years old or older,Female,12th grade,1.6,54.89,No
16 years old,Female,10th grade,1.68,63.5,Yes
16 years old,Male,10th grade,1.85,83.92,No
16 years old,Male,11th grade,1.75,59.88,No
18 years old or older,Male,12th grade,1.98,54.43,No
18 years old or older,Male,12th grade,1.85,61.24,No
14 years old,Female,9th grade,1.65,52.16,No
15 years old,Male,10th grade,1.9,74.84,No
17 years old,Male,11th grade,1.8,63.96,No
16 years old,Male,11th grade,1.78,58.97,Yes
18 years old or older,Male,12th grade,1.83,95.26,No
16 years old,Female,10th grade,1.55,54.43,No
15 years old,Female,9th grade,1.65,44.45,Yes
17 years old,Female,11th grade,1.65,55.79,Yes
18 years old or older,Female,12th grade,1.57,50.8,No
18 years old or older,Male,12th grade,1.9,102.06,No
15 years old,Female,10th grade,1.73,81.65,Yes
15 years old,Male,9th grade,1.52,78.02,No
17 years old,Female,11th grade,1.68,60.33,No
16 years old,Female,11th grade,1.7,69.4,Yes
18 years old or older,Male,12th grade,1.85,81.65,No
18 years old or older,Male,12th grade,1.78,81.65,No
16 years old,Female,10th grade,1.65,70.31,No
15 years old,Male,9th grade,1.83,65.77,No
15 years old,Female,10th grade,1.6,52.62,Yes
17 years old,Male,11th grade,1.78,94.8,No
18 years old or older,Male,12th grade,1.8,104.33,No
17 years old,Female,12th grade,1.6,48.54,Yes
15 years old,Female,10th grade,1.7,59.88,No
14 years old,Female,9th grade,1.65,57.15,Yes
16 years old,Male,10th grade,1.75,108.86,Yes
17 years old,Male,11th grade,1.75,68.95,No
16 years old,Male,11th grade,1.75,77.11,No
17 years old,Male,12th grade,1.7,63.5,No
18 years old or older,Female,12th grade,1.57,65.77,No
15 years old,Female,10th grade,1.68,65.77,Yes
14 years old,Male,9th grade,1.85,97.52,No
15 years old,Male,10th grade,1.7,86.18,No
17 years old,Male,11th grade,1.83,58.06,No
18 years old or older,Male,12th grade,1.68,81.65,No
18 years old or older,Male,12th grade,1.8,68.04,Yes
15 years old,Male,10th grade,1.65,58.51,No
14 years old,Female,9th grade,1.65,47.63,No
15 years old,Female,10th grade,1.7,58.97,No
14 years old,Female,9th grade,1.63,59.88,Yes
16 years old,Female,9th grade,1.78,60.33,No
15 years old,Female,9th grade,1.78,60.33,No
17 years old,Male,11th grade,1.8,65.77,No
17 years old,Male,11th grade,1.88,95.26,No
18 years old or older,Female,12th grade,1.55,46.72,Yes
18 years old or older,Female,12th grade,1.63,53.98,No
16 years old,Male,10th grade,1.78,49.44,No
14 years old,Male,9th grade,1.7,58.97,No
14 years old,Male,9th grade,1.7,54.43,No
15 years old,Male,10th grade,1.83,72.58,No
16 years old,Male,11th grade,1.8,138.35,Yes
18 years old or older,Female,11th grade,1.57,61.24,No
17 years old,Male,12th grade,1.8,74.84,No
18 years old or older,Male,12th grade,1.88,77.11,Yes
16 years old,Male,10th grade,1.8,72.58,No
15 years old,Female,9th grade,1.6,49.9,No
14 years old,Male,9th grade,1.83,76.66,No
15 years old,Female,10th grade,1.73,56.7,No
16 years old,Female,11th grade,1.63,61.24,No
18 years old or older,Male,12th grade,1.8,74.84,Yes
15 years old,Male,10th grade,1.75,82.56,No
14 years old,Male,9th grade,1.68,86.18,No
15 years old,Male,9th grade,1.78,64.86,Yes
17 years old,Female,11th grade,1.78,83.92,Yes
17 years old,Male,11th grade,1.88,68.04,Yes
17 years old,Male,12th grade,1.75,72.58,No
16 years old,Male,10th grade,1.75,81.65,No
15 years old,Female,9th grade,1.7,52.16,No
14 years old,Male,9th grade,1.63,61.24,No
16 years old,Male,10th grade,1.75,52.16,No
17 years old,Male,11th grade,1.8,65.77,No
17 years old,Female,11th grade,1.6,58.97,Yes
17 years old,Male,12th grade,1.8,65.77,No
17 years old,Male,12th grade,1.9,70.31,No
15 years old,Female,10th grade,1.68,65.77,No
16 years old,Female,10th grade,1.63,63.5,Yes
14 years old,Male,9th grade,1.68,88.91,Yes
15 years old,Female,10th grade,1.73,62.6,No
17 years old,Male,11th grade,1.8,58.97,No
18 years old or older,Female,12th grade,1.68,68.04,No
17 years old,Male,12th grade,1.78,68.04,No
17 years old,Female,12th grade,1.7,54.89,Yes
15 years old,Male,10th grade,1.78,68.04,No
16 years old,Male,10th grade,1.75,68.04,No
15 years old,Female,10th grade,1.57,54.43,No
16 years old,Male,10th grade,1.83,74.84,No
17 years old,Female,11th grade,1.63,80.74,No
17 years old,Male,11th grade,1.88,121.56,No
17 years old,Male,12th grade,1.78,70.31,No
16 years old,Female,10th grade,1.73,71.67,Yes
14 years old,Female,9th grade,1.4,34.02,No
15 years old,Male,9th grade,1.63,63.5,No
16 years old,Male,10th grade,1.73,63.5,No
17 years old,Male,11th grade,1.75,127.01,Yes
18 years old or older,Male,12th grade,1.8,65.77,No
18 years old or older,Male,12th grade,1.8,108.86,No
16 years old,Male,10th grade,1.73,56.7,No
14 years old,Male,9th grade,1.65,53.07,No
15 years old,Male,9th grade,1.75,61.24,No
16 years old,Male,10th grade,1.8,84.37,No
16 years old,Male,11th grade,1.85,84.82,No
17 years old,Male,11th grade,1.73,54.43,No
18 years old or older,Male,12th grade,1.9,95.26,No
15 years old,Male,10th grade,1.63,72.58,No
14 years old,Female,9th grade,1.6,47.63,No
15 years old,Female,9th grade,1.45,38.56,No
16 years old,Male,10th grade,1.73,81.65,No
16 years old,Male,11th grade,1.73,70.31,No
16 years old,Female,11th grade,1.55,57.61,No
17 years old,Male,12th grade,1.88,83.92,No
18 years old or older,Female,12th grade,1.57,63.5,Yes
16 years old,Female,10th grade,1.57,45.36,No
15 years old,Male,9th grade,1.8,52.16,No
17 years old,Male,11th grade,1.63,43.55,No
17 years old,Male,11th grade,1.7,72.58,No
17 years old,Male,11th grade,1.7,54.43,Yes
17 years old,Male,11th grade,1.96,95.26,No
18 years old or older,Male,11th grade,1.83,65.77,No
15 years old,Male,9th grade,1.7,97.52,No
16 years old,Male,11th grade,1.78,48.54,Yes
17 years old,Male,12th grade,1.7,68.49,No
15 years old,Male,9th grade,1.83,117.94,No
17 years old,Female,12th grade,1.7,61.24,No
15 years old,Male,9th grade,1.75,68.04,Yes
16 years old,Female,11th grade,1.55,59.88,No
17 years old,Male,12th grade,1.8,77.11,No
15 years old,Male,9th grade,1.65,45.36,No
17 years old,Female,11th grade,1.52,44,No
16 years old,Male,11th grade,1.6,58.97,No
18 years old or older,Male,12th grade,1.96,88.45,No
16 years old,Male,11th grade,1.6,74.84,No
17 years old,Female,11th grade,1.52,49.9,No
18 years old or older,Male,12th grade,1.88,99.79,No
14 years old,Male,9th grade,1.8,90.27,No
18 years old or older,Male,12th grade,1.7,61.69,No
16 years old,Male,11th grade,1.78,59.88,No
18 years old or older,Male,12th grade,1.96,82.1,Yes
17 years old,Male,12th grade,1.73,88.45,No
14 years old,Female,9th grade,1.6,61.24,No
16 years old,Male,11th grade,1.7,63.96,No
16 years old,Male,11th grade,1.75,86.18,Yes
18 years old or older,Female,12th grade,1.52,65.77,No
17 years old,Female,11th grade,1.52,43.09,No
18 years old or older,Male,12th grade,1.68,62.6,No
15 years old,Female,9th grade,1.63,88,No
17 years old,Female,11th grade,1.63,87.54,Yes
16 years old,Female,11th grade,1.6,54.43,No
15 years old,Female,10th grade,1.63,54.43,No
16 years old,Female,10th grade,1.68,54.43,No
16 years old,Female,10th grade,1.6,79.38,No
16 years old,Female,11th grade,1.6,49.9,No
15 years old,Female,10th grade,1.6,45.36,Yes
16 years old,Female,10th grade,1.63,58.06,Yes
17 years old,Male,12th grade,1.7,82.56,No
15 years old,Male,9th grade,1.63,58.97,No
16 years old,Male,10th grade,1.65,70.76,No
14 years old,Female,9th grade,1.65,68.04,No
16 years old,Female,11th grade,1.55,53.07,No
16 years old,Female,10th grade,1.55,47.63,No
17 years old,Male,11th grade,1.85,97.52,No
16 years old,Male,10th grade,1.7,90.72,No
16 years old,Female,10th grade,1.68,65.77,Yes
14 years old,Male,9th grade,1.68,88,Yes
15 years old,Male,10th grade,1.8,92.99,No
15 years old,Male,9th grade,1.85,84.37,No
15 years old,Female,9th grade,1.78,73.94,Yes
16 years old,Female,11th grade,1.63,52.16,No
16 years old,Male,11th grade,1.96,149.69,No
15 years old,Male,9th grade,1.73,57.15,No
17 years old,Female,11th grade,1.5,44.45,No
15 years old,Female,9th grade,1.5,37.65,No
17 years old,Female,11th grade,1.63,65.77,Yes
15 years old,Female,9th grade,1.63,59.88,No
16 years old,Male,10th grade,1.73,65.77,No
15 years old,Male,9th grade,1.9,140.62,No
14 years old,Female,9th grade,1.57,55.34,No
17 years old,Female,11th grade,1.65,72.58,Yes
14 years old,Male,9th grade,1.93,90.72,Yes
15 years old,Male,10th grade,1.68,56.7,No
14 years old,Female,9th grade,1.52,54.43,No
14 years old,Male,9th grade,1.8,88.45,No
17 years old,Male,11th grade,1.88,88.91,Yes
15 years old,Female,9th grade,1.55,55.34,No
16 years old,Female,11th grade,1.55,61.24,Yes
17 years old,Female,11th grade,1.4,61.24,Yes
15 years old,Male,9th grade,1.65,54.43,No
15 years old,Male,10th grade,1.73,107.96,No
14 years old,Male,9th grade,1.78,59.88,Yes
14 years old,Female,9th grade,1.52,54.43,Yes
16 years old,Male,11th grade,1.8,96.16,No
17 years old,Female,11th grade,1.52,49.9,No
15 years old,Female,9th grade,1.75,124.74,Yes
15 years old,Female,10th grade,1.63,58.51,No
14 years old,Male,9th grade,1.83,73.48,No
15 years old,Female,9th grade,1.68,65.77,Yes
17 years old,Male,11th grade,1.7,61.69,No
16 years old,Male,11th grade,1.63,49.9,No
15 years old,Male,9th grade,1.63,63.5,Yes
15 years old,Female,10th grade,1.68,54.43,Yes
15 years old,Female,9th grade,1.7,72.58,No
15 years old,Male,9th grade,1.83,73.94,No
17 years old,Female,11th grade,1.7,106.6,Yes
16 years old,Male,11th grade,1.73,61.24,No
15 years old,Male,9th grade,1.65,61.24,Yes
16 years old,Male,10th grade,1.73,106.6,No
15 years old,Male,9th grade,1.65,61.24,No
14 years old,Female,9th grade,1.75,74.84,No
16 years old,Male,11th grade,1.8,65.77,Yes
17 years old,Female,11th grade,1.83,68.04,No
14 years old,Female,9th grade,1.63,80.74,No
15 years old,Male,10th grade,1.7,70.31,Yes
15 years old,Female,9th grade,1.63,46.27,Yes
15 years old,Female,9th grade,1.63,51.26,No
