Age,Sex,Grade,Height,Weight,Bullied_at_School
16 years old,Male,10th grade,1.68,64.41,Yes
16 years old,Male,11th grade,1.83,92.99,No
16 years old,Female,10th grade,1.5,52.62,No
15 years old,Female,9th grade,1.75,61.24,No
16 years old,Male,10th grade,1.85,172.37,Yes
17 years old,Male,11th grade,1.83,55.79,No
15 years old,Female,10th grade,1.6,70.76,No
14 years old,Female,9th grade,1.6,76.2,No
16 years old,Female,10th grade,1.68,68.04,No
15 years old,Female,9th grade,1.55,52.16,No
16 years old,Male,10th grade,1.68,97.52,No
14 years old,Female,9th grade,1.57,79.38,Yes
17 years old,Male,11th grade,1.73,84.37,No
16 years old,Female,10th grade,1.63,77.11,No
14 years old,Female,9th grade,1.73,50.8,No
16 years old,Male,11th grade,1.73,68.04,No
15 years old,Male,9th grade,1.75,111.13,No
16 years old,Male,10th grade,1.85,102.06,No
15 years old,Male,9th grade,1.73,59.88,No
16 years old,Male,11th grade,1.7,68.49,No
17 years old,Female,11th grade,1.6,86.18,No
15 years old,Female,9th grade,1.55,58.97,No
17 years old,Male,11th grade,1.75,56.7,No
17 years old,Female,11th grade,1.63,86.18,No
16 years old,Male,10th grade,1.85,86.64,No
15 years old,Female,9th grade,1.68,58.97,No
18 years old or older,Female,11th grade,1.65,117.94,No
16 years old,Male,11th grade,1.8,73.94,No
16 years old,Male,10th grade,1.75,77.11,No
15 years old,Male,9th grade,1.75,70.31,No
17 years old,Male,11th grade,1.85,102.97,No
16 years old,Male,11th grade,1.78,61.24,No
14 years old,Male,9th grade,1.73,63.5,No
18 years old or older,Male,12th grade,1.8,68.04,No
15 years old,Male,10th grade,1.8,68.04,No
16 years old,Female,10th grade,1.57,88.45,No
16 years old,Male,10th grade,1.85,87.09,No
15 years old,Female,9th grade,1.65,98.88,No
15 years old,Female,9th grade,1.7,56.7,No
17 years old,Female,11th grade,1.57,82.56,No
17 years old,Male,11th grade,1.65,59.42,No
16 years old,Male,10th grade,1.75,73.03,No
15 years old,Female,9th grade,1.63,58.97,Yes
15 years old,Male,9th grade,1.78,111.13,No
17 years old,Female,11th grade,1.63,107.05,No
16 years old,Male,10th grade,1.83,58.97,No
15 years old,Male,9th grade,1.7,54.43,No
15 years old,Male,9th grade,1.65,61.24,Yes
16 years old,Male,10th grade,1.9,86.18,No
18 years old or older,Male,11th grade,1.7,114.31,No
16 years old,Female,10th grade,1.65,61.24,No
15 years old,Male,9th grade,1.85,71.22,No
17 years old,Female,11th grade,1.55,72.12,No
16 years old,Female,10th grade,1.57,54.89,No
15 years old,Male,9th grade,1.75,63.5,Yes
15 years old,Male,9th grade,1.73,63.5,No
15 years old,Male,9th grade,1.65,49.9,No
15 years old,Female,9th grade,1.75,92.53,Yes
15 years old,Female,9th grade,1.63,52.16,No
14 years old,Female,9th grade,1.68,85.28,Yes
16 years old,Female,10th grade,1.52,58.06,No
14 years old,Female,9th grade,1.52,61.24,No
14 years old,Female,9th grade,1.52,68.04,No
14 years old,Male,9th grade,1.75,68.04,No
15 years old,Female,10th grade,1.57,48.54,No
15 years old,Male,9th grade,1.75,62.14,No
15 years old,Female,9th grade,1.65,53.98,No
14 years old,Male,9th grade,1.78,85.73,Yes
15 years old,Male,9th grade,1.75,61.24,No
14 years old,Male,9th grade,1.78,61.24,No
15 years old,Male,9th grade,1.85,69.4,No
15 years old,Male,9th grade,1.68,56.7,Yes
15 years old,Female,9th grade,1.7,54.43,No
15 years old,Male,9th grade,1.83,60.78,No
16 years old,Male,10th grade,1.96,147.42,No
16 years old,Female,11th grade,1.7,58.97,No
15 years old,Female,10th grade,1.65,56.7,No
15 years old,Female,10th grade,1.68,54.43,Yes
15 years old,Male,10th grade,1.75,90.72,No
17 years old,Male,10th grade,1.75,88.91,No
16 years old,Male,10th grade,1.68,61.24,No
16 years old,Male,10th grade,1.57,54.43,No
16 years old,Female,10th grade,1.63,49.9,Yes
15 years old,Female,10th grade,1.6,50.8,No
17 years old,Female,10th grade,1.55,58.97,No
15 years old,Male,10th grade,1.9,65.77,Yes
16 years old,Male,10th grade,1.75,106.6,No
15 years old,Female,10th grade,1.65,61.24,No
16 years old,Female,10th grade,1.78,81.65,No
17 years old,Male,10th grade,1.68,81.65,No
14 years old,Male,9th grade,1.65,63.5,No
16 years old,Female,10th grade,1.55,52.16,No
18 years old or older,Female,12th grade,1.6,81.65,No
15 years old,Female,9th grade,1.57,68.04,Yes
15 years old,Female,9th grade,1.68,58.97,No
15 years old,Female,10th grade,1.57,51.71,No
18 years old or older,Male,12th grade,1.88,131.54,No
18 years old or older,Male,12th grade,1.73,67.13,No
15 years old,Male,9th grade,1.78,84.37,No
14 years old,Male,9th grade,1.78,89.36,No
16 years old,Female,10th grade,1.45,55.79,Yes
18 years old or older,Female,12th grade,1.57,72.58,No
14 years old,Male,9th grade,1.7,63.05,No
15 years old,Male,10th grade,1.75,74.84,No
17 years old,Male,12th grade,1.78,88.45,No
18 years old or older,Female,12th grade,1.63,58.97,No
14 years old,Female,9th grade,1.63,61.24,No
15 years old,Male,9th grade,1.68,61.24,No
15 years old,Female,10th grade,1.63,72.58,No
17 years old,Female,12th grade,1.57,63.5,No
18 years old or older,Male,12th grade,1.7,65.77,No
16 years old,Female,9th grade,1.57,104.33,Yes
15 years old,Female,9th grade,1.63,54.89,No
17 years old,Male,10th grade,1.63,66.68,No
17 years old,Female,12th grade,1.65,54.43,No
18 years old or older,Female,12th grade,1.68,81.19,No
14 years old,Male,9th grade,1.7,72.58,No
14 years old,Female,9th grade,1.7,124.74,No
15 years old,Female,10th grade,1.63,65.77,No
17 years old,Male,11th grade,1.65,59.42,No
16 years old,Male,11th grade,1.52,59.42,No
18 years old or older,Female,12th grade,1.6,70.31,No
15 years old,Male,9th grade,1.65,53.98,No
17 years old,Female,10th grade,1.7,81.65,No
15 years old,Male,9th grade,1.68,52.16,No
14 years old,Male,9th grade,1.73,62.6,No
17 years old,Male,10th grade,1.8,87.09,No
18 years old or older,Male,12th grade,1.8,113.4,No
18 years old or older,Female,12th grade,1.6,50.8,No
14 years old,Female,9th grade,1.57,46.27,No
15 years old,Male,9th grade,1.65,82.1,No
17 years old,Female,12th grade,1.57,61.24,No
18 years old or older,Female,12th grade,1.52,40.82,No
17 years old,Female,12th grade,1.6,97.98,No
17 years old,Male,12th grade,1.8,79.38,No
14 years old,Male,9th grade,1.8,92.99,Yes
15 years old,Female,9th grade,1.65,68.04,No
16 years old,Male,10th grade,1.85,66.23,No
18 years old or older,Male,12th grade,1.83,86.18,No
18 years old or older,Female,12th grade,1.57,83.92,No
17 years old,Male,9th grade,1.73,53.07,No
16 years old,Female,10th grade,1.6,49.44,Yes
18 years old or older,Female,12th grade,1.63,49.9,No
17 years old,Male,10th grade,1.68,49.9,No
18 years old or older,Male,12th grade,1.83,68.04,No
17 years old,Female,12th grade,1.63,63.05,No
17 years old,Female,12th grade,1.6,62.6,No
14 years old,Female,9th grade,1.63,67.59,No
17 years old,Female,11th grade,1.65,88.91,No
17 years old,Male,12th grade,1.78,108.41,No
17 years old,Female,12th grade,1.6,56.7,Yes
14 years old,Female,9th grade,1.63,52.16,No
15 years old,Male,9th grade,1.7,54.43,Yes
16 years old,Male,10th grade,1.68,79.38,Yes
17 years old,Female,12th grade,1.6,68.04,No
18 years old or older,Male,12th grade,1.78,61.24,No
18 years old or older,Male,12th grade,1.83,108.86,No
15 years old,Female,9th grade,1.65,94.35,No
15 years old,Male,9th grade,1.73,58.51,No
17 years old,Male,10th grade,1.68,67.13,No
18 years old or older,Female,12th grade,1.68,82.56,No
18 years old or older,Male,12th grade,1.75,101.15,No
14 years old,Male,9th grade,1.8,62.14,No
15 years old,Female,9th grade,1.6,72.12,No
15 years old,Female,10th grade,1.73,68.04,No
17 years old,Female,12th grade,1.65,49.9,No
17 years old,Female,12th grade,1.52,49.9,No
15 years old,Female,9th grade,1.52,42.18,No
16 years old,Female,9th grade,1.63,58.97,No
16 years old,Male,10th grade,1.78,96.62,Yes
16 years old,Male,10th grade,1.83,79.38,No
16 years old,Female,10th grade,1.65,61.24,No
15 years old,Female,10th grade,1.55,44.45,No
17 years old,Male,11th grade,1.7,54.43,Yes
15 years old,Male,10th grade,1.85,113.4,No
15 years old,Female,10th grade,1.5,58.97,No
16 years old,Male,10th grade,1.9,54.43,No
16 years old,Female,10th grade,1.68,56.7,No
15 years old,Female,10th grade,1.65,52.62,Yes
16 years old,Female,10th grade,1.57,74.84,Yes
15 years old,Female,10th grade,1.57,83.92,No
15 years old,Male,9th grade,1.78,76.2,No
15 years old,Female,10th grade,1.55,47.17,No
16 years old,Female,9th grade,1.65,56.7,No
15 years old,Male,10th grade,1.8,79.38,Yes
16 years old,Female,10th grade,1.6,49.9,No
15 years old,Male,10th grade,1.7,60.78,No
16 years old,Male,10th grade,1.73,83.92,No
17 years old,Female,11th grade,1.6,83.46,No
15 years old,Female,10th grade,1.63,52.16,No
15 years old,Female,10th grade,1.52,47.63,No
16 years old,Female,10th grade,1.65,56.25,Yes
15 years old,Female,9th grade,1.63,45.36,Yes
18 years old or older,Male,12th grade,1.68,49.9,Yes
16 years old,Female,10th grade,1.63,56.7,No
15 years old,Female,10th grade,1.65,52.62,Yes
15 years old,Male,10th grade,1.8,65.32,No
18 years old or older,Male,12th grade,1.75,68.04,No
16 years old,Female,10th grade,1.68,57.61,No
16 years old,Male,10th grade,1.7,57.61,No
15 years old,Male,9th grade,1.73,56.7,No
15 years old,Male,10th grade,1.8,48.99,No
16 years old,Male,11th grade,1.73,72.58,No
16 years old,Female,10th grade,1.78,56.7,No
15 years old,Male,10th grade,1.8,70.31,No
15 years old,Male,9th grade,1.73,63.5,No
15 years old,Male,10th grade,1.8,81.65,Yes
15 years old,Female,10th grade,1.63,48.54,No
17 years old,Female,12th grade,1.75,68.04,No
15 years old,Male,10th grade,1.73,72.58,No
16 years old,Male,10th grade,1.88,78.02,No
16 years old,Male,10th grade,1.73,58.06,No
15 years old,Male,10th grade,1.8,77.11,No
15 years old,Male,10th grade,1.83,74.84,No
15 years old,Male,9th grade,1.83,111.13,Yes
15 years old,Male,10th grade,1.63,58.06,No
15 years old,Male,10th grade,1.7,51.26,Yes
17 years old,Male,11th grade,1.9,86.18,No
15 years old,Male,9th grade,1.78,61.69,No
17 years old,Male,12th grade,1.68,61.24,No
15 years old,Male,10th grade,1.83,87.09,No
15 years old,Male,10th grade,1.85,72.58,No
16 years old,Female,10th grade,1.63,58.97,No
14 years old,Male,9th grade,1.9,68.95,No
15 years old,Male,9th grade,1.78,54.43,No
15 years old,Male,10th grade,1.78,70.31,No
17 years old,Male,11th grade,1.75,70.31,No
18 years old or older,Female,12th grade,1.68,68.04,No
18 years old or older,Male,12th grade,1.75,83.01,No
14 years old,Male,9th grade,1.68,66.23,No
16 years old,Female,11th grade,1.65,64.86,No
15 years old,Male,10th grade,1.78,117.94,No
15 years old,Male,10th grade,1.68,54.43,No
15 years old,Male,10th grade,1.78,61.24,No
17 years old,Male,11th grade,1.73,65.77,No
14 years old,Male,9th grade,1.63,52.16,Yes
15 years old,Male,10th grade,1.83,60.33,Yes
16 years old,Male,10th grade,1.96,81.65,No
15 years old,Male,10th grade,1.88,83.92,No
16 years old,Male,11th grade,1.83,65.32,No
16 years old,Male,10th grade,1.98,147.42,Yes
16 years old,Male,11th grade,1.78,58.97,No
15 years old,Female,10th grade,1.63,77.11,Yes
15 years old,Male,10th grade,1.68,58.97,No
17 years old,Male,11th grade,1.7,54.43,No
15 years old,Male,10th grade,1.73,50.8,No
15 years old,Male,10th grade,1.78,56.7,No
18 years old or older,Female,11th grade,1.57,69.4,No
15 years old,Male,10th grade,1.78,99.79,No
17 years old,Male,11th grade,1.75,74.84,No
17 years old,Male,11th grade,1.85,72.58,No
15 years old,Male,9th grade,1.65,58.97,No
16 years old,Male,10th grade,1.83,68.04,No
16 years old,Female,11th grade,1.78,74.84,No
16 years old,Male,11th grade,1.8,79.38,No
15 years old,Male,10th grade,1.88,77.11,No
17 years old,Female,11th grade,1.63,61.24,No
17 years old,Male,12th grade,1.8,104.33,No
15 years old,Female,9th grade,1.75,68.95,Yes
16 years old,Male,10th grade,1.7,61.24,Yes
17 years old,Male,12th grade,1.83,97.52,No
17 years old,Male,12th grade,1.83,68.95,No
15 years old,Male,10th grade,1.75,67.13,No
17 years old,Female,11th grade,1.52,56.7,No
17 years old,Male,12th grade,1.8,79.38,No
18 years old or older,Male,12th grade,1.78,68.95,No
14 years old,Female,9th grade,1.45,70.76,Yes
14 years old,Female,9th grade,1.6,56.7,Yes
15 years old,Female,9th grade,1.6,58.97,No
14 years old,Female,9th grade,1.57,40.82,No
14 years old,Female,9th grade,1.65,56.25,No
14 years old,Female,9th grade,1.68,49.44,No
18 years old or older,Male,12th grade,1.73,72.58,No
17 years old,Male,12th grade,1.85,85.73,No
18 years old or older,Male,12th grade,1.8,90.72,No
18 years old or older,Male,12th grade,1.75,87.54,No
18 years old or older,Male,12th grade,1.8,77.11,No
17 years old,Female,12th grade,1.6,86.18,No
17 years old,Female,12th grade,1.65,104.33,No
18 years old or older,Female,12th grade,1.7,97.98,No
18 years old or older,Male,12th grade,1.68,61.24,No
18 years old or older,Male,12th grade,1.83,83.92,No
18 years old or older,Female,12th grade,1.55,70.31,No
17 years old,Male,12th grade,1.9,77.11,No
18 years old or older,Male,12th grade,1.73,89.36,No
17 years old,Female,12th grade,1.57,113.4,No
17 years old,Female,12th grade,1.7,63.5,No
15 years old,Male,9th grade,1.7,57.61,No
14 years old,Male,9th grade,1.7,52.16,No
14 years old,Female,9th grade,1.55,49.9,No
15 years old,Female,9th grade,1.65,52.16,No
15 years old,Female,9th grade,1.6,46.72,No
15 years old,Male,9th grade,1.85,81.65,No
14 years old,Female,9th grade,1.73,68.04,No
14 years old,Male,9th grade,1.73,64.86,No
15 years old,Male,9th grade,1.8,65.77,No
14 years old,Female,9th grade,1.63,81.65,Yes
15 years old,Male,9th grade,1.73,78.47,No
14 years old,Male,9th grade,1.68,62.6,Yes
15 years old,Female,9th grade,1.55,48.08,Yes
14 years old,Female,9th grade,1.6,47.63,Yes
15 years old,Male,9th grade,1.7,61.24,Yes
15 years old,Male,10th grade,1.68,68.04,No
16 years old,Male,10th grade,1.7,86.18,No
15 years old,Female,10th grade,1.63,96.62,No
16 years old,Female,10th grade,1.65,52.16,Yes
16 years old,Male,10th grade,1.78,120.2,No
16 years old,Female,10th grade,1.63,81.65,No
16 years old,Male,10th grade,1.68,63.5,No
16 years old,Female,10th grade,1.57,54.43,No
16 years old,Female,10th grade,1.57,65.77,No
16 years old,Female,10th grade,1.65,68.04,No
16 years old,Male,10th grade,1.88,127.01,No
16 years old,Female,10th grade,1.57,61.24,No
16 years old,Male,10th grade,1.7,55.79,No
16 years old,Female,10th grade,1.57,43.09,No
18 years old or older,Female,12th grade,1.57,58.51,No
17 years old,Female,12th grade,1.7,71.22,No
14 years old,Male,9th grade,1.65,45.36,No
17 years old,Female,11th grade,1.73,56.7,No
15 years old,Female,10th grade,1.57,54.43,No
17 years old,Female,12th grade,1.73,61.24,No
17 years old,Female,12th grade,1.5,63.5,No
16 years old,Male,9th grade,1.7,63.5,Yes
16 years old,Female,11th grade,1.5,44.45,No
18 years old or older,Female,12th grade,1.7,58.97,No
17 years old,Male,12th grade,1.85,117.94,No
14 years old,Male,9th grade,1.68,52.16,Yes
15 years old,Male,9th grade,1.75,63.5,No
16 years old,Female,11th grade,1.78,99.79,Yes
15 years old,Female,10th grade,1.57,61.24,Yes
17 years old,Male,12th grade,1.85,74.84,No
17 years old,Female,12th grade,1.73,104.33,Yes
15 years old,Male,9th grade,1.75,52.16,No
14 years old,Female,9th grade,1.65,68.04,No
17 years old,Female,11th grade,1.7,72.58,No
16 years old,Male,11th grade,1.88,67.59,No
17 years old,Female,11th grade,1.52,54.43,Yes
17 years old,Female,11th grade,1.68,99.79,No
16 years old,Male,11th grade,1.93,99.79,Yes
17 years old,Male,11th grade,1.93,97.52,Yes
15 years old,Female,10th grade,1.63,53.52,Yes
15 years old,Female,10th grade,1.6,72.58,No
18 years old or older,Female,12th grade,1.52,63.5,No
17 years old,Male,12th grade,1.75,68.04,Yes
16 years old,Male,11th grade,1.8,61.24,Yes
15 years old,Female,10th grade,1.63,65.77,No
17 years old,Male,12th grade,1.78,74.84,No
16 years old,Female,11th grade,1.6,67.13,No
15 years old,Male,10th grade,1.78,60.78,No
16 years old,Male,11th grade,1.7,54.89,Yes
17 years old,Female,12th grade,1.63,58.97,No
17 years old,Female,12th grade,1.55,70.31,No
14 years old,Male,9th grade,1.68,63.5,No
16 years old,Male,10th grade,1.8,61.24,No
15 years old,Male,10th grade,1.73,72.58,No
17 years old,Female,12th grade,1.6,56.25,No
18 years old or older,Female,12th grade,1.75,68.04,Yes
17 years old,Female,11th grade,1.57,58.97,Yes
17 years old,Female,12th grade,1.6,83.92,Yes
17 years old,Female,12th grade,1.65,64.41,Yes
14 years old,Male,9th grade,1.8,61.24,No
18 years old or older,Female,12th grade,1.63,52.16,No
17 years old,Female,12th grade,1.57,47.63,Yes
15 years old,Female,9th grade,1.6,54.43,Yes
17 years old,Female,11th grade,1.65,102.97,No
17 years old,Female,12th grade,1.63,97.07,No
17 years old,Female,12th grade,1.68,68.04,No
15 years old,Female,9th grade,1.6,57.15,No
17 years old,Female,11th grade,1.63,95.26,No
16 years old,Male,11th grade,1.8,74.84,No
16 years old,Male,12th grade,1.73,52.16,No
17 years old,Female,12th grade,1.45,59.88,No
14 years old,Female,9th grade,1.73,53.52,Yes
17 years old,Female,11th grade,1.68,63.5,No
