County,Age Range,Population
Jefferson,60-69,9934
Jefferson,70-79,6179
Jefferson,80+,3310
Knox,0-19,16765
Knox,20-29,8198
Knox,30-39,6920
Knox,40-49,6925
Knox,50-59,7971
Knox,60-69,8312
Knox,70-79,5098
Knox,80+,2532
Lake,0-19,51234
Lake,20-29,26946
Lake,30-39,27747
Lake,40-49,27505
Lake,50-59,33410
Lake,60-69,33756
Lake,70-79,21001
Lake,80+,11004
Lawrence,0-19,13885
Lawrence,20-29,6602
Lawrence,30-39,6968
Lawrence,40-49,7444
Lawrence,50-59,8124
Lawrence,60-69,7676
Lawrence,70-79,5154
Lawrence,80+,2387
Licking,0-19,46205
Licking,20-29,20876
Licking,30-39,22428
Licking,40-49,22036
Licking,50-59,25007
Licking,60-69,22138
Licking,70-79,13675
Licking,80+,6154
Logan,0-19,11671
Logan,20-29,5207
Logan,30-39,5200
Logan,40-49,5666
Logan,50-59,6506
Logan,60-69,6405
Logan,70-79,3734
Logan,80+,1761
Lorain,0-19,76605
Lorain,20-29,35996
Lorain,30-39,36875
Lorain,40-49,38999
Lorain,50-59,43437
Lorain,60-69,41829
Lorain,70-79,25948
Lorain,80+,13275
Lucas,0-19,110847
Lucas,20-29,57180
Lucas,30-39,56489
Lucas,40-49,50168
Lucas,50-59,55434
Lucas,60-69,54206
Lucas,70-79,31049
Lucas,80+,15906
Madison,0-19,9935
Madison,20-29,5275
Madison,30-39,6198
Madison,40-49,6261
Madison,50-59,6365
Madison,60-69,5133
Madison,70-79,3141
Madison,80+,1516
Mahoning,0-19,51442
Mahoning,20-29,27906
Mahoning,30-39,26149
Mahoning,40-49,26200
Mahoning,50-59,30368
Mahoning,60-69,33746
Mahoning,70-79,20674
Mahoning,80+,12129
Marion,0-19,15415
Marion,20-29,8310
Marion,30-39,8315
Marion,40-49,8254
Marion,50-59,8824
Marion,60-69,8368
Marion,70-79,5260
Marion,80+,2613
Medina,0-19,44361
Medina,20-29,19013
Medina,30-39,21577
Medina,40-49,23743
Medina,50-59,27032
Medina,60-69,24203
Medina,70-79,15432
Medina,80+,7109
Meigs,0-19,5184
Meigs,20-29,2189
Meigs,30-39,2535
Meigs,40-49,2807
Meigs,50-59,3277
Meigs,60-69,3254
Meigs,70-79,1989
Meigs,80+,975
Mercer,0-19,12118
Mercer,20-29,4874
Mercer,30-39,4912
Mercer,40-49,4440
Mercer,50-59,5350
Mercer,60-69,5769
Mercer,70-79,3174
Mercer,80+,1891
Miami,0-19,27562
Miami,20-29,11670
Miami,30-39,13610
Miami,40-49,13368
Miami,50-59,14692
Miami,60-69,13983
Miami,70-79,9327
Miami,80+,4562
Monroe,0-19,2990
Monroe,20-29,1336
Monroe,30-39,1403
Monroe,40-49,1578
Monroe,50-59,1868
Monroe,60-69,2017
Monroe,70-79,1438
Monroe,80+,755
Montgomery,0-19,133513
Montgomery,20-29,72712
Montgomery,30-39,69060
Montgomery,40-49,60581
Montgomery,50-59,68929
Montgomery,60-69,66776
Montgomery,70-79,42295
Montgomery,80+,23443
Morgan,0-19,3150
Morgan,20-29,1437
Morgan,30-39,1502
Morgan,40-49,1650
Morgan,50-59,1964
Morgan,60-69,2031
Morgan,70-79,1309
Morgan,80+,759
Morrow,0-19,8630
Morrow,20-29,3627
Morrow,30-39,4047
Morrow,40-49,4574
Morrow,50-59,5147
Morrow,60-69,4856
Morrow,70-79,2724
Morrow,80+,1345
Muskingum,0-19,21610
Muskingum,20-29,11123
Muskingum,30-39,10195
Muskingum,40-49,10277
Muskingum,50-59,11611
Muskingum,60-69,11163
Muskingum,70-79,6847
Muskingum,80+,3584
Noble,0-19,2887
Noble,20-29,1229
Noble,30-39,1238
Noble,40-49,1229
Noble,50-59,1896
Noble,60-69,2841
Noble,70-79,1918
Noble,80+,877
Ottawa,0-19,8147
Ottawa,20-29,3713
Ottawa,30-39,4009
Ottawa,40-49,4457
Ottawa,50-59,5963
Ottawa,60-69,7097
Ottawa,70-79,4771
Ottawa,80+,2207
Paulding,0-19,4917
Paulding,20-29,2032
Paulding,30-39,2077
Paulding,40-49,2252
Paulding,50-59,2609
Paulding,60-69,2591
Paulding,70-79,1575
Paulding,80+,753
Perry,0-19,9093
Perry,20-29,4024
Perry,30-39,4226
Perry,40-49,4382
Perry,50-59,5081
Perry,60-69,4706
Perry,70-79,2709
Perry,80+,1187
Pickaway,0-19,14010
Pickaway,20-29,7467
Pickaway,30-39,7909
Pickaway,40-49,7975
Pickaway,50-59,8095
Pickaway,60-69,6862
Pickaway,70-79,4123
Pickaway,80+,2098
Pike,0-19,7036
Pike,20-29,3076
Pike,30-39,3059
Pike,40-49,3387
Pike,50-59,3711
Pike,60-69,3520
Pike,70-79,2136
Pike,80+,1163
Portage,0-19,37240
Portage,20-29,27936
Portage,30-39,17609
Portage,40-49,17947
Portage,50-59,21958
Portage,60-69,21048
Portage,70-79,12448
Portage,80+,5605
Preble,0-19,10110
Preble,20-29,4373
Preble,30-39,4637
Preble,40-49,5038
Preble,50-59,5785
Preble,60-69,5745
Preble,70-79,3619
Preble,80+,1692
Putnam,0-19,9649
Putnam,20-29,3677
Putnam,30-39,3950
Putnam,40-49,3896
Putnam,50-59,4587
Putnam,60-69,4647
Putnam,70-79,2530
Putnam,80+,1515
Richland,0-19,30244
Richland,20-29,15570
Richland,30-39,14992
Richland,40-49,14937
